X,Y,Z,Yaw,Pitch,Roll
0.076923,0.11043,0,-32.96,-5.9866,0
0.080769,0.11043,0,-32.759,-5.9197,0
0.084615,0.11043,0,-32.559,-5.8528,0
0.088462,0.11043,0,-32.358,-5.786,0
0.092308,0.11043,0,-32.157,-5.7191,0
0.096154,0.11043,0,-31.957,-5.6522,0
0.1,0.11043,0,-31.756,-5.5853,0
0.10385,0.11043,0,-31.555,-5.5184,0
0.10769,0.11043,0,-31.355,-5.4515,0
0.11154,0.11043,0,-31.154,-5.3846,0
0.11538,0.11043,0,-30.953,-5.3177,0
0.11923,0.11043,0,-30.753,-5.2508,0
0.12308,0.11043,0,-30.552,-5.1839,0
0.12692,0.11043,0,-30.351,-5.1171,0
0.13077,0.11043,0,-30.151,-5.0502,0
0.13462,0.11043,0,-29.95,-4.9833,0
0.13846,0.11043,0,-29.749,-4.9164,0
0.14231,0.11043,0,-29.548,-4.8495,0
0.14615,0.11043,0,-29.348,-4.7826,0
0.15,0.11043,0,-29.147,-4.7157,0
0.15,0.11043,0,-28.946,-4.6488,0
0.15,0.11043,0,-28.746,-4.5819,0
0.15,0.11043,0,-28.545,-4.5151,0
0.15,0.11043,0,-28.344,-4.4482,0
0.15,0.11043,0,-28.144,-4.3813,0
0.15,0.11043,0,-27.943,-4.3144,0
0.15,0.11043,0,-27.742,-4.2475,0
0.15,0.11043,0,-27.542,-4.1806,0
0.15,0.11043,0,-27.341,-4.1137,0
0.15,0.11043,0,-27.14,-4.0468,0
0.15,0.11043,0,-26.94,-3.9799,0
0.15,0.11043,0,-26.739,-3.913,0
0.15,0.11043,0,-26.538,-3.8462,0
0.15,0.11043,0,-26.338,-3.7793,0
0.15,0.11043,0,-26.137,-3.7124,0
0.15,0.11043,0,-25.936,-3.6455,0
0.15,0.11043,0,-25.736,-3.5786,0
0.15,0.11043,0,-25.535,-3.5117,0
0.15,0.11043,0,-25.334,-3.4448,0
0.15,0.11043,0,-25.134,-3.3779,0
0.15,0.11043,0,-24.933,-3.311,0
0.15,0.11043,0,-24.732,-3.2441,0
0.15,0.11043,0,-24.532,-3.1773,0
0.15,0.11043,0,-24.331,-3.1104,0
0.15,0.11043,0,-24.13,-3.0435,0
0.15,0.11043,0,-23.93,-2.9766,0
0.15,0.11043,0,-23.729,-2.9097,0
0.15,0.11043,0,-23.528,-2.8428,0
0.15,0.11043,0,-23.328,-2.7759,0
0.15,0.11043,0,-23.127,-2.709,0
0.15,0.11043,0,-22.926,-2.6421,0
0.15,0.11043,0,-22.726,-2.5753,0
0.15,0.11043,0,-22.525,-2.5084,0
0.15,0.11043,0,-22.324,-2.4415,0
0.15,0.11043,0,-22.124,-2.3746,0
0.15,0.11043,0,-21.923,-2.3077,0
0.15,0.11043,0,-21.722,-2.2408,0
0.15,0.11043,0,-21.522,-2.1739,0
0.15,0.11043,0,-21.321,-2.107,0
0.15,0.11043,0,-21.12,-2.0401,0
0.15,0.11043,0,-20.92,-1.9732,0
0.15,0.10668,0,-20.719,-1.9064,0
0.15,0.10293,0,-20.518,-1.8395,0
0.15,0.099185,0,-20.318,-1.7726,0
0.15,0.095437,0,-20.117,-1.7057,0
0.15,0.09169,0,-19.916,-1.6388,0
0.15,0.087943,0,-19.716,-1.5719,0
0.15,0.084195,0,-19.515,-1.505,0
0.15,0.080448,0,-19.314,-1.4381,0
0.15,0.076701,0,-19.114,-1.3712,0
0.15,0.072953,0,-18.913,-1.3043,0
0.15,0.069206,0,-18.712,-1.2375,0
0.15,0.065459,0,-18.512,-1.1706,0
0.15,0.061712,0,-18.311,-1.1037,0
0.15,0.057964,0,-18.11,-1.0368,0
0.15,0.054217,0,-17.91,-0.9699,0
0.15,0.05047,0,-17.709,-0.90301,0
0.15,0.046722,0,-17.508,-0.83612,0
0.15,0.042975,0,-17.308,-0.76923,0
0.15,0.039228,0,-17.107,-0.70234,0
0.15,0.03548,0,-16.906,-0.63545,0
0.15,0.031733,0,-16.706,-0.56856,0
0.15,0.027986,0,-16.505,-0.50167,0
0.15,0.024238,0,-16.304,-0.43478,0
0.15,0.020491,0,-16.104,-0.36789,0
0.15,0.016744,0,-15.903,-0.301,0
0.15,0.012997,0,-15.702,-0.23411,0
0.15,0.0092492,0,-15.502,-0.16722,0
0.15,0.0055019,0,-15.301,-0.10033,0
0.15,0.0017546,0,-15.1,-0.033445,0
